,Наименование сырья/материала,Производитель,Номер серии,Срок годности,Номера протоколов анализов,Серия препарата,Дата
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301120424,2024-04-12
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301120424,2024-04-12
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301120424,2024-04-12
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S16301120424,2024-04-12
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301120424,2024-04-12
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301150424,2024-04-15
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301150424,2024-04-15
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301150424,2024-04-15
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301150424,2024-04-15
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301150424,2024-04-15
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301150424,2024-04-15
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301150424,2024-04-15
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301150424,2024-04-15
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301150424,2024-04-15
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301150424,2024-04-15
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301150424,2024-04-15
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301150424,2024-04-15
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301150424,2024-04-15
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301150424,2024-04-15
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301150424,2024-04-15
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S16301150424,2024-04-15
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301150424,2024-04-15
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301170424,2024-04-17
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301170424,2024-04-17
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301170424,2024-04-17
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301170424,2024-04-17
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301170424,2024-04-17
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301170424,2024-04-17
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301170424,2024-04-17
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301170424,2024-04-17
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301170424,2024-04-17
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301170424,2024-04-17
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301170424,2024-04-17
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301170424,2024-04-17
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301170424,2024-04-17
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301170424,2024-04-17
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301170424,2024-04-17
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S16301170424,2024-04-17
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301170424,2024-04-17
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301190424,2024-04-19
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301190424,2024-04-19
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301190424,2024-04-19
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301190424,2024-04-19
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301190424,2024-04-19
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301190424,2024-04-19
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301190424,2024-04-19
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301190424,2024-04-19
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301190424,2024-04-19
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301190424,2024-04-19
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301190424,2024-04-19
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301190424,2024-04-19
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301190424,2024-04-19
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301190424,2024-04-19
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301190424,2024-04-19
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S16301190424,2024-04-19
16,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301190424,2024-04-19
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301220424,2024-04-22
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301220424,2024-04-22
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301220424,2024-04-22
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301220424,2024-04-22
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301220424,2024-04-22
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301220424,2024-04-22
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301220424,2024-04-22
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301220424,2024-04-22
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301220424,2024-04-22
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301220424,2024-04-22
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301220424,2024-04-22
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301220424,2024-04-22
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301220424,2024-04-22
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301220424,2024-04-22
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301220424,2024-04-22
15,"Вода, обогащенная кислородом-18",ЦМИ,2306M011,2025-06-01 00:00:00,–,S16301220424,2024-04-22
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S16301220424,2024-04-22
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301240424,2024-04-24
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301240424,2024-04-24
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301240424,2024-04-24
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301240424,2024-04-24
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301240424,2024-04-24
